Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Dean Wade,2020,2023,F,6-9,228.0,"November 20, 1996",Kansas State,https://www.basketball-reference.com/players/w/wadede01.html
Dwyane Wade,2004,2019,G,6-4,220.0,"January 17, 1982",Marquette,https://www.basketball-reference.com/players/w/wadedw01.html
Mark Wade,1988,1990,G,5-11,160.0,"October 15, 1965","Oklahoma, UNLV",https://www.basketball-reference.com/players/w/wadema01.html
Von Wafer,2006,2012,G,6-5,210.0,"July 21, 1985",Florida State,https://www.basketball-reference.com/players/w/wafervo01.html
Clint Wager,1950,1950,C-F,6-6,210.0,"January 20, 1920",Saint Mary's University of Minnesota,https://www.basketball-reference.com/players/w/wagercl01.html
Dajuan Wagner,2003,2007,G,6-2,200.0,"February 4, 1983",Memphis,https://www.basketball-reference.com/players/w/wagneda02.html
Danny Wagner,1950,1950,G,6-0,170.0,"August 1, 1922",Texas,https://www.basketball-reference.com/players/w/wagneda01.html
Franz Wagner,2022,2023,G-F,6-9,225.0,"August 27, 2001",Michigan,https://www.basketball-reference.com/players/w/wagnefr01.html
Milt Wagner,1988,1991,G,6-5,185.0,"February 20, 1963",Louisville,https://www.basketball-reference.com/players/w/wagnemi01.html
Moritz Wagner,2019,2023,F-C,6-11,245.0,"April 26, 1997",Michigan,https://www.basketball-reference.com/players/w/wagnemo01.html
Phil Wagner,1969,1969,G,6-2,190.0,"December 18, 1945",Georgia Tech,https://www.basketball-reference.com/players/w/wagneph01.html
Ish Wainright,2022,2023,F,6-6,250.0,"September 12, 1994",Baylor,https://www.basketball-reference.com/players/w/wainris01.html
Dion Waiters,2013,2020,G,6-3,215.0,"December 10, 1991",Syracuse,https://www.basketball-reference.com/players/w/waitedi01.html
Granville Waiters,1984,1988,C,6-11,225.0,"January 8, 1961",Ohio State,https://www.basketball-reference.com/players/w/waitegr01.html
Andre Wakefield,1979,1980,G,6-3,175.0,"January 11, 1955",Loyola Chicago,https://www.basketball-reference.com/players/w/wakefan01.html
Neal Walk,1970,1977,C,6-10,220.0,"July 29, 1948",Florida,https://www.basketball-reference.com/players/w/walkne01.html
Andy Walker,1977,1977,G,6-4,190.0,"March 25, 1955",Niagara University,https://www.basketball-reference.com/players/w/walkean01.html
Antoine Walker,1997,2008,F,6-8,224.0,"August 12, 1976",Kentucky,https://www.basketball-reference.com/players/w/walkean02.html
Brady Walker,1949,1952,F-C,6-6,205.0,"March 15, 1921",BYU,https://www.basketball-reference.com/players/w/walkebr01.html
Chet Walker*,1963,1975,F-G,6-6,212.0,"February 22, 1940",Bradley,https://www.basketball-reference.com/players/w/walkech01.html
Darrell Walker,1984,1993,G,6-4,180.0,"March 9, 1961",Arkansas,https://www.basketball-reference.com/players/w/walkeda01.html
Foots Walker,1975,1984,G,6-0,184.0,"May 21, 1951","Vincennes University, West Georgia",https://www.basketball-reference.com/players/w/walkefo01.html
Henry Walker,2009,2015,F,6-6,220.0,"October 9, 1987",Kansas State,https://www.basketball-reference.com/players/w/walkebi01.html
Horace Walker,1962,1962,F,6-3,210.0,"April 17, 1937",Michigan State,https://www.basketball-reference.com/players/w/walkeho01.html
