Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Sheldon Mac,2017,2017,G,6-5,200.0,"December 21, 1992","Texas, Miami (FL)",https://www.basketball-reference.com/players/m/mcclesh01.html
Todd MacCulloch,2000,2003,C,7-0,280.0,"January 27, 1976",Washington,https://www.basketball-reference.com/players/m/maccuto01.html
Ronnie MacGilvray,1955,1955,G,6-2,185.0,"July 20, 1930",St. John's,https://www.basketball-reference.com/players/m/macgiro01.html
Don MacLean,1993,2001,F,6-10,235.0,"January 16, 1970",UCLA,https://www.basketball-reference.com/players/m/macledo01.html
Mike Macaluso,1974,1974,F,6-5,210.0,"July 20, 1951",Canisius,https://www.basketball-reference.com/players/m/macalmi01.html
Ed Macauley*,1950,1959,C-F,6-8,185.0,"March 22, 1928",Saint Louis,https://www.basketball-reference.com/players/m/macaued01.html
Scott Machado,2013,2019,G,6-1,205.0,"June 8, 1990",Iona College,https://www.basketball-reference.com/players/m/machasc01.html
Arvydas Macijauskas,2006,2006,G,6-4,214.0,"January 19, 1980",,https://www.basketball-reference.com/players/m/macijar01.html
Ollie Mack,1980,1982,G,6-3,185.0,"June 6, 1957",East Carolina University,https://www.basketball-reference.com/players/m/mackol01.html
Sam Mack,1993,2002,F-G,6-7,220.0,"May 26, 1970","Iowa State, Tyler Junior College, Houston",https://www.basketball-reference.com/players/m/macksa01.html
Shelvin Mack,2012,2019,G,6-3,203.0,"April 22, 1990",Butler,https://www.basketball-reference.com/players/m/macksh01.html
Malcolm Mackey,1994,1994,F-C,6-9,248.0,"July 11, 1970",Georgia Tech,https://www.basketball-reference.com/players/m/mackema01.html
Rudy Macklin,1982,1984,F-G,6-7,205.0,"February 19, 1958",LSU,https://www.basketball-reference.com/players/m/macklru01.html
Vernon Macklin,2012,2012,F,6-10,227.0,"September 20, 1986","Georgetown, Florida",https://www.basketball-reference.com/players/m/macklve01.html
Johnny Macknowski,1950,1951,G-F,6-0,180.0,"January 7, 1923",Seton Hall,https://www.basketball-reference.com/players/m/macknjo01.html
Daryl Macon,2019,2020,G,6-2,185.0,"November 29, 1995",Arkansas,https://www.basketball-reference.com/players/m/maconda01.html
Mark Macon,1992,1999,G,6-5,185.0,"April 14, 1969",Temple,https://www.basketball-reference.com/players/m/maconma01.html
J.P. Macura,2019,2020,G,6-5,203.0,"June 5, 1995",Xavier,https://www.basketball-reference.com/players/m/macurjp01.html
Kyle Macy,1981,1987,G,6-3,175.0,"April 9, 1957","Purdue, Kentucky",https://www.basketball-reference.com/players/m/macyky01.html
Jack Maddox,1949,1949,F-G,6-3,185.0,"December 10, 1919",West Texas A&M University,https://www.basketball-reference.com/players/m/maddoja01.html
Tito Maddox,2003,2003,G,6-4,190.0,"June 7, 1981",Fresno State,https://www.basketball-reference.com/players/m/maddoti01.html
Gerald Madkins,1994,1998,G,6-4,200.0,"April 18, 1969",UCLA,https://www.basketball-reference.com/players/m/madkige01.html
Mark Madsen,2001,2009,F-C,6-9,240.0,"January 28, 1976",Stanford,https://www.basketball-reference.com/players/m/madsema01.html
Norm Mager,1951,1951,F,6-5,185.0,"March 23, 1926",City College of New York,https://www.basketball-reference.com/players/m/magerno01.html
Josh Magette,2018,2020,G,6-1,160.0,"November 28, 1989",Alabama-Huntsville,https://www.basketball-reference.com/players/m/magetjo01.html
Corey Maggette,2000,2013,F,6-6,218.0,"November 12, 1979",Duke,https://www.basketball-reference.com/players/m/maggeco01.html
Dave Magley,1983,1983,F,6-8,202.0,"November 24, 1959",Kansas,https://www.basketball-reference.com/players/m/magleda01.html
Jamaal Magloire,2001,2012,C,6-11,259.0,"May 21, 1978",Kentucky,https://www.basketball-reference.com/players/m/magloja01.html
Will Magnay,2021,2021,C,6-10,234.0,"June 10, 1998",Tulsa,https://www.basketball-reference.com/players/m/magnawi01.html
Randy Mahaffey,1968,1971,F,6-7,210.0,"September 28, 1945",Clemson,https://www.basketball-reference.com/players/m/mahafra01.html
Ian Mahinmi,2008,2020,C,6-11,262.0,"November 5, 1986",,https://www.basketball-reference.com/players/m/mahinia01.html
John Mahnken,1947,1953,C,6-8,220.0,"June 16, 1922",Georgetown,https://www.basketball-reference.com/players/m/mahnkjo01.html
Brian Mahoney,1973,1973,G,6-3,175.0,"December 17, 1948",Manhattan College,https://www.basketball-reference.com/players/m/mahonbr01.html
Mo Mahoney,1953,1954,F,6-2,205.0,"November 20, 1927",Brown University,https://www.basketball-reference.com/players/m/mahonmo01.html
Rick Mahorn,1981,1999,C-F,6-10,240.0,"September 21, 1958",Hampton,https://www.basketball-reference.com/players/m/mahorri01.html
Dan Majerle,1989,2002,G-F,6-6,215.0,"September 9, 1965",Central Michigan University,https://www.basketball-reference.com/players/m/majerda01.html
Renaldo Major,2007,2007,F,6-7,200.0,"May 7, 1982","South Plains College, Fresno State",https://www.basketball-reference.com/players/m/majorre01.html
Thon Maker,2017,2021,F-C,7-0,221.0,"February 25, 1997",,https://www.basketball-reference.com/players/m/makerth01.html
Lionel Malamed,1949,1949,G,5-9,150.0,"November 15, 1924",City College of New York,https://www.basketball-reference.com/players/m/malamli01.html
Théo Maledon,2021,2023,G,6-4,175.0,"June 12, 2001",,https://www.basketball-reference.com/players/m/maledth01.html
Jeff Malone,1984,1996,G,6-4,205.0,"June 28, 1961",Mississippi State,https://www.basketball-reference.com/players/m/malonje01.html
Karl Malone*,1986,2004,F,6-9,250.0,"July 24, 1963",Louisiana Tech,https://www.basketball-reference.com/players/m/malonka01.html
Moses Malone*,1975,1995,C-F,6-10,215.0,"March 23, 1955",,https://www.basketball-reference.com/players/m/malonmo01.html
Matt Maloney,1997,2003,G,6-3,192.0,"December 6, 1971","Vanderbilt, Penn",https://www.basketball-reference.com/players/m/malonma01.html
