Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Ivan Rabb,2018,2019,F,6-10,220,"February 4, 1997",California,https://www.basketball-reference.com/players/r/rabbiv01.html
Luther Rackley,1970,1974,C,6-10,220,"June 11, 1946",Xavier,https://www.basketball-reference.com/players/r/rackllu01.html
Howie Rader,1949,1949,G-F,6-1,190,"March 29, 1921",Long Island University,https://www.basketball-reference.com/players/r/raderho01.html
Mark Radford,1982,1983,G,6-4,190,"July 5, 1959",Oregon State,https://www.basketball-reference.com/players/r/radfoma01.html
Wayne Radford,1979,1979,G,6-3,205,"May 29, 1956",Indiana,https://www.basketball-reference.com/players/r/radfowa01.html
Dino Radja*,1994,1997,F-C,6-11,225,"April 24, 1967",,https://www.basketball-reference.com/players/r/radjadi01.html
Vladimir Radmanović,2002,2013,F,6-10,227,"November 19, 1980",,https://www.basketball-reference.com/players/r/radmavl01.html
Aleksandar Radojević,2000,2005,C,7-3,250,"August 8, 1976",Barton County Community College,https://www.basketball-reference.com/players/r/radojal01.html
Frank Radovich,1962,1962,F,6-8,235,"March 3, 1938",Indiana,https://www.basketball-reference.com/players/r/radovfr01.html
Moe Radovich,1953,1953,G,6-0,160,"May 5, 1929",Wyoming,https://www.basketball-reference.com/players/r/radovmo01.html
Miroslav Raduljica,2014,2015,C,7-0,250,"January 5, 1988",,https://www.basketball-reference.com/players/r/radulmi01.html
Ray Radziszewski,1958,1958,F,6-5,210,"March 1, 1935",Saint Joseph's,https://www.basketball-reference.com/players/r/radzira01.html
Ray Ragelis,1952,1952,F,6-4,205,"December 10, 1928",Northwestern,https://www.basketball-reference.com/players/r/ragelra01.html
Sherwin Raiken,1953,1953,G,6-2,185,"October 29, 1928",Villanova,https://www.basketball-reference.com/players/r/raikesh01.html
Ed Rains,1982,1983,F,6-7,190,"December 24, 1956",University of South Alabama,https://www.basketball-reference.com/players/r/rainsed01.html
Igor Rakočević,2003,2003,G,6-3,183,"March 29, 1978",,https://www.basketball-reference.com/players/r/rakocig01.html
Kurt Rambis,1982,1995,F,6-8,213,"February 25, 1958",Santa Clara,https://www.basketball-reference.com/players/r/rambiku01.html
