Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Hamady N'Diaye,2011,2014,C,7-0,235.0,"January 12, 1987",Rutgers University,https://www.basketball-reference.com/players/n/ndiayha01.html
Makhtar N'Diaye,1999,1999,F,6-8,245.0,"December 12, 1973","Michigan, UNC",https://www.basketball-reference.com/players/n/ndiayma01.html
Mamadou N'Diaye,2001,2005,C,7-0,255.0,"June 16, 1975",Auburn,https://www.basketball-reference.com/players/n/ndiayma02.html
Boniface N'Dong,2006,2006,C,7-0,198.0,"March 9, 1977",,https://www.basketball-reference.com/players/n/ndongbo01.html
Bob Naber,1953,1953,F,6-3,185.0,"September 3, 1929",Louisville,https://www.basketball-reference.com/players/n/naberbo01.html
Boris Nachamkin,1955,1955,F,6-6,210.0,"December 6, 1933",NYU,https://www.basketball-reference.com/players/n/nachabo01.html
Boštjan Nachbar,2003,2008,F,6-9,221.0,"July 3, 1980",,https://www.basketball-reference.com/players/n/nachbbo01.html
Abdel Nader,2018,2022,F,6-5,225.0,"September 25, 1993","Northern Illinois, Iowa State",https://www.basketball-reference.com/players/n/naderab01.html
Jerry Nagel,1950,1950,G,6-0,190.0,"May 18, 1928",Loyola Chicago,https://www.basketball-reference.com/players/n/nagelje01.html
Fritz Nagy,1949,1949,G-F,6-2,185.0,"January 3, 1924",University of Akron,https://www.basketball-reference.com/players/n/nagyfr01.html
Lee Nailon,2001,2006,F,6-9,238.0,"February 22, 1975","Butler County Community College, TCU",https://www.basketball-reference.com/players/n/nailole01.html
Eduardo Nájera,2001,2012,F,6-8,240.0,"July 11, 1976",Oklahoma,https://www.basketball-reference.com/players/n/najered01.html
Larry Nance,1982,1994,F-C,6-10,205.0,"February 12, 1959",Clemson,https://www.basketball-reference.com/players/n/nancela01.html
Larry Nance Jr.,2016,2023,F-C,6-7,245.0,"January 1, 1993",Wyoming,https://www.basketball-reference.com/players/n/nancela02.html
Shabazz Napier,2015,2020,G,6-0,175.0,"July 14, 1991",UConn,https://www.basketball-reference.com/players/n/napiesh01.html
Paul Napolitano,1949,1949,F-G,6-2,185.0,"February 3, 1923",San Francisco,https://www.basketball-reference.com/players/n/napolpa01.html
Bob Nash,1973,1979,F,6-8,195.0,"August 24, 1950","San Jacinto College, Hawaii",https://www.basketball-reference.com/players/n/nashbo01.html
Cotton Nash,1965,1968,F,6-5,215.0,"July 24, 1942",Kentucky,https://www.basketball-reference.com/players/n/nashco01.html
Steve Nash*,1997,2014,G,6-3,195.0,"February 7, 1974",Santa Clara,https://www.basketball-reference.com/players/n/nashst01.html
